,school_name,city,state,website,directory
38,florida southwestern collegiate high school,punta gorda,florida,https://www.fsw.edu/wp/cchs/,https://www.fsw.edu/directory/departmentdetails/78
39,edison collegiate high school,ft myers,florida,https://www.fsw.edu/wp/lchs/,https://www.fsw.edu/wp/lchs/
40,frenchtown high school,frenchtown,montana,https://www.ftsd.org/,https://www.ftsd.org/staff
41,fullington academy,pine hurst,georgia,https://www.fullingtonacademy.com/,https://www.fullingtonacademy.com/about/faculty-staff.cfm
42,g ray bodley high school,fulton,new york,https://www.fultoncsd.org/domain/26,https://www.fultoncsd.org/domain/48
43,banneker high school,college park,georgia,https://www.fultonschools.org/bannekerhs,https://www.fultonschools.org/domain/4833
44,creekside high school,fairburn,georgia,https://www.fultonschools.org/creeksidehs,https://www.fultonschools.org/domain/4086
45,tri cities high school,east point,georgia,https://www.fultonschools.org/domain/5363,https://www.fultonschools.org/domain/5366
46,independence high school,roswell,georgia,https://www.fultonschools.org/independencehs,https://www.fultonschools.org/domain/4247
47,cambridge high school,johns creek,georgia,https://www.fultonschools.org/johnscreekhs,https://www.fultonschools.org/domain/4211
48,roswell high school,milton,georgia,https://www.fultonschools.org/miltonhs,https://www.fultonschools.org/site/Default.aspx?PageID=16649
49,fuqua school,farmville,virginia,https://www.fuquaschool.com/,https://www.fuquaschool.org/facultyandstaff
50,citrus high continuation,fontana,california,https://www.fusd.net/CitrusHigh,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36677103630480
51,jurupa hills high school,fontana,california,https://www.fusd.net/Domain/43,https://www.fusd.net/Page/3081
52,fontana a b miller high,fontana,california,https://www.fusd.net/abmiller,https://www.fusd.net/domain/2168
53,fontana high,fontana,california,https://www.fusd.net/fohi,https://www.fusd.net/Page/4722
54,coconino high school,flagstaff,arizona,https://www.fusd1.org/chs,https://www.fusd1.org/domain/2894
55,flagstaff high school,flagstaff,arizona,https://www.fusd1.org/domain/924,https://www.fusd1.org/domain/2721
56,florence high school,florence,arizona,https://www.fusdaz.com/fhs,https://www.fusdaz.com/domain/1597
57,san tan foothills high school,queen creek,arizona,https://www.fusdaz.com/foothills,https://www.fusdaz.com/domain/1598
58,poston butte high school,san tan valley,arizona,https://www.fusdaz.com/pbhs,https://www.fusdaz.com/domain/1596
59,carter riverside high school,fort worth,texas,https://www.fwisd.org/AmonCarterRiverside,https://www.fwisd.org/domain/8152
60,dunbar high school,fort worth,texas,https://www.fwisd.org/Dunbar,https://www.fwisd.org/domain/7197
61,eastern hills high school,fort worth,texas,https://www.fwisd.org/EasternHills,https://www.fwisd.org/EasternHills
62,marine creek collegiate high school,fort worth,texas,https://www.fwisd.org/MarineCreek,https://www.fwisd.org/domain/7164
63,o d wyatt high school,fort worth,texas,https://www.fwisd.org/ODWyatt,https://www.fwisd.org/domain/7301
64,southwest high school,fort worth,texas,https://www.fwisd.org/Southwest,https://www.fwisd.org/domain/296
65,young mens leadership academy,fort worth,texas,https://www.fwisd.org/YMLA,https://www.fwisd.org/domain/338
66,diamond hill jarvis high school,fort worth,texas,https://www.fwisd.org/diamondhilljarvis,https://www.fwisd.org/Page/11199
67,polytechnic high school,fort worth,texas,https://www.fwisd.org/polytechnic,https://www.fwisd.org/domain/7191
68,trimble technical high school,fort worth,texas,https://www.fwisd.org/trimbletech,https://www.fwisd.org/domain/1774
69,western hills high school,fort worth,texas,https://www.fwisd.org/westernhills,https://www.fwisd.org/domain/324
70,decatur high school,federal way,washington,https://www.fwps.org/Decatur,https://www.fwps.org/staffdirectory
71,thomas jefferson high school,auburn,washington,https://www.fwps.org/ThomasJefferson,https://www.fwps.org/domain/1284
72,federal way high school,federal way,washington,https://www.fwps.org/fwhs,https://www.fwps.org/Page/2006
73,todd beamer high school,federal way,washington,https://www.fwps.org/tbhs,https://www.fwps.org/staffdirectory
74,guardian angels central catholic school,west point,nebraska,https://www.gaccbluejays.org/,https://www.gaccbluejays.org/
75,gage park high school,chicago,illinois,https://www.gageparkhs.org/?x=true,https://www.gageparkhs.org/apps/staff/
76,gahanna christian academy,gahanna,ohio,https://www.gahannachristianacademy.com/,https://www.zoominfo.com/pic/gahanna-christian-academy/344825839
77,gainesville high school,gainesville,texas,https://www.gainesvilleisd.org/ghs,https://www.gainesvilleisd.org/staffdirectory
78,girls acad leaders academy dr michelle king stem,los angeles,california,https://www.galacademy.org/,https://www.galacademy.org/michelle-king
79,galena park isd career and technical echs,houston,texas,https://www.galenaparkisd.com/Domain/31,https://www.galenaparkisd.com/domain/822
80,galena park independent school district career and technical echs,houston,texas,https://www.galenaparkisd.com/domain/77,https://www.galenaparkisd.com/domain/77
81,gallatin county high school,warsaw,kentucky,https://www.gallatin.k12.ky.us/1/home,https://gchs.gallatin.kyschools.us/facultystaff-directory
82,gallatin high school,junction,illinois,https://www.gallatincusd7.com/,https://www.gallatincusd7.com/staff
83,gallia academy high school,gallipolis,ohio,https://www.gallipoliscityschools.k12.oh.us/1/home,https://www.gallipoliscityschools.k12.oh.us/1/Staff
84,garaway high school,sugarcreek,ohio,https://www.garaway.org/garaway7-12_home.aspx,https://www.garaway.org/StaffDirectory.aspx
85,gardena senior high school,gardena,california,https://www.gardenashs.org/,https://www.gardenashs.org/apps/staff/
86,garden city high school,garden city,new york,https://www.gardencity.k12.ny.us/Domain/8,http://www.gardencityschools.com/schools/garden_city_high_school/hs_staff_directory.php
87,gardner high school,gardner,massachusetts,https://www.gardner-ma.gov/854/Gardner-High-School-8-12,https://www.gardnerk12.org/directory.aspx?did=50
88,james a garfield high school,garrettsville,ohio,https://www.garfield.sparcc.org/o/jag-high-school,https://www.garfield.sparcc.org/staff
89,garfield elementary,alhambra,california,https://www.garfieldelementary.org/,https://www.cde.ca.gov/schooldirectory/details?cdscode=19757136011035
90,garfield heights high school,garfield heights,ohio,https://www.garfieldheightscityschools.com/garfieldheightshighschool_home.aspx,https://www.garfieldheightscityschools.com/hsStaff.aspx
91,garland christian academy,garland,texas,https://www.garlandchristian.com/,https://garlandchristian.com/about-us/faculty-staff/
92,lakeview centennial high school,rowlett,texas,https://www.garlandisdschools.net/rhs,https://www.garlandisdschools.net/lchs/staff
93,sachse high school,rowlett,texas,https://www.garlandisdschools.net/rhs,https://www.garlandisdschools.net/shs/about/administration
94,palouse high school,palouse,washington,https://www.garpal.net/domain/32,https://www.garpal.net/domain/8
95,garrard county high school,lancaster,kentucky,https://www.garrard.k12.ky.us/o/gchs,https://www.garrard.k12.ky.us/staff
96,west side leadership academy,gary,indiana,https://www.garycsc.k12.in.us/west-side-leadership-academy-2/,https://www.garycsc.k12.in.us/west-side-leadership-academy-2/
97,gary school,gary,texas,https://www.garyisd.org/,https://www.garyisd.org/staff
98,amsterdam high school,amsterdam,new york,https://www.gasd.org/amsterdam-high-school/,https://www.gasd.org/staff-directory-results/
99,bessemer city high school,bessemer city,north carolina,https://www.gaston.k12.nc.us/bchigh,https://www.gaston.k12.nc.us/domain/298
100,cherryville high school,cherryville,north carolina,https://www.gaston.k12.nc.us/cherryvillehigh,https://www.gaston.k12.nc.us/domain/299
101,gaston early college high school,dallas,north carolina,https://www.gaston.k12.nc.us/gastonearlycollege,https://www.gaston.k12.nc.us/domain/791
102,hunter huss high school,gastonia,north carolina,https://www.gaston.k12.nc.us/huss,https://www.gaston.k12.nc.us/domain/797
103,north gaston high school,dallas,north carolina,https://www.gaston.k12.nc.us/ngaston,https://www.gaston.k12.nc.us/domain/806
104,gaston jrsr high school,gaston,oregon,https://www.gastonk12.org/,https://www.gastonk12.org/Page/2474
105,gateway early college high school,phoenix,arizona,https://www.gatewaycc.edu/gateway-early-college-high-school,https://www.gatewaycc.edu/gateway-early-college-high-school/meet-our-staff-0
106,gaynor mccown expeditionary learning school,staten island,new york,https://www.gaynormccownels.org/,https://www.gaynormccownels.org/directory/faculty
107,perry learning center,grand blanc,michigan,https://www.gbcs.org/pic,https://www.gbcs.org/Page/386
108,grace brethren christian school,clinton,maryland,https://www.gbcseagles.org/,https://www.gbcseagles.org/about-us/staff
109,grand concourse academy charter school,bronx,new york,https://www.gcacs.org/,https://www.gcacs.org/District/Staff
110,greenwood christian academy,greenwood,indiana,https://www.gcak12.org/,https://www.gcak12.org/staff/teachers
111,sonoraville high school,calhoun,georgia,https://www.gcbe.org/o/shs,https://www.gcbe.org/o/shs/page/staff-resources
112,giles county high school,pulaski,tennessee,https://www.gcboe.us/GCHS,https://www.gcboe.us/domain/251
113,richland school,lynnville,tennessee,https://www.gcboe.us/RS,https://www.gcboe.us/domain/118
114,greensburg central catholic high school,greensburg,pennsylvania,https://www.gcchs.org/Pages/default.aspx,https://www.gcchs.org/
115,jefferson scranton high school,jefferson,iowa,https://www.gccsd.k12.ia.us/o/gchs,https://www.signalhire.com/companies/jefferson-scranton-and-east-greene-community-school-districts
116,gotham collaborative high school,bronx,new york,https://www.gchs.nyc/,https://www.gchs.nyc/staff
117,garden city high school,garden city,texas,https://www.gckats.net/page/jr-high-high-school,http://www.gardencityschools.com/staff/staff.php
118,gibson county high school,dyer,tennessee,https://www.gcpioneers.org/,https://www.gcssd.org/o/gchs/staff
119,southern garrett high school,oakland,maryland,https://www.gcps.net/southern-garrett-high,https://www.gcps.net/staff-directory
120,phoenix high school,lawrenceville,georgia,https://www.gcpsk12.org/PhoenixHS,https://www.gcpsk12.org/domain/2124
121,mcclure health science high school,duluth,georgia,https://www.gcpsk12.org/mcclurehealthsciencehs,https://www.gcpsk12.org/domain/6604
122,gloucester city jr sr high school,gloucester city,new jersey,https://www.gcsd.k12.nj.us/ghs,https://www.gcsd.k12.nj.us/staffdirectory
123,gouverneur high school,gouverneur,new york,https://www.gcsk12.org/high-school/,https://www.gcsk12.org/directory/?fName=&lName=&chosenLocation=Administration
124,t wingate andrews high school,high point,north carolina,https://www.gcsnc.com/Andrews_High,https://www.gcsnc.com/domain/13468
125,high point central high school,high point,north carolina,https://www.gcsnc.com/High_Point_Central_High,https://www.gcsnc.com/domain/559
126,gtcc middle college high,jamestown,north carolina,https://www.gcsnc.com/Middle_College_at_GTCC-Jamestown,https://www.gcsnc.com/domain/1459
127,northeast guilford high school,mcleansville,north carolina,https://www.gcsnc.com/Northeast_Guilford_High,https://www.gcsnc.com/domain/20962
128,james b dudley high school,greensboro,north carolina,https://www.gcsnc.com/dudley_high,https://www.gcsnc.com/domain/1213
129,early college at guilford,greensboro,north carolina,https://www.gcsnc.com/early_college_at_guilford,https://www.gcsnc.com/domain/1279
130,the early college at guilford,greensboro,north carolina,https://www.gcsnc.com/early_college_at_guilford,https://www.gcsnc.com/domain/1279
131,the middle college at uncg,greensboro,north carolina,https://www.gcsnc.com/middle_college_at_uncg,https://www.gcsnc.com/domain/1455
132,page high school,greensboro,north carolina,https://www.gcsnc.com/page_high,https://www.gcsnc.com/domain/1433
133,lucy ragsdale high school,jamestown,north carolina,https://www.gcsnc.com/ragsdale_high,https://www.gcsnc.com/domain/1409
134,southeast guilford high school,greensboro,north carolina,https://www.gcsnc.com/southeast_guilford_high,https://www.gcsnc.com/domain/1427
135,southern guilford high school,greensboro,north carolina,https://www.gcsnc.com/southern_guilford_high,https://www.gcsnc.com/domain/1255
136,southwest guilford high school,high point,north carolina,https://www.gcsnc.com/southwest_guilford_high,https://www.gcsnc.com/domain/1261
137,philip j weaver ed center,greensboro,north carolina,https://www.gcsnc.com/weaver_academy,https://www.gcsnc.com/domain/1441
138,western guilford high school,greensboro,north carolina,https://www.gcsnc.com/western_guilford_high,https://www.gcsnc.com/domain/1437
139,grace christian school,staunton,virginia,https://www.gcswarriors.org/,https://www.gcswarriors.org/who-we-are/staff.cfm
140,greene co tech high school,paragould,arkansas,https://www.gctsd.k12.ar.us/o/gcths,https://sites.google.com/gctschools.net/gcths/faculty-staff
141,gillespie high school,gillespie,illinois,https://www.gcusd7.org,https://www.gcusd7.org/high-school-staff-directory/
142,greenfield commonwealth virtual school,greenfield,massachusetts,https://www.gcvs.org/,https://profiles.doe.mass.edu/profiles/general.aspx?topNavId=1&orgcode=39010000&orgtypecode=5&leftNavId=122&&dropDownOrgCode=2
143,groton dunstable regional,groton,massachusetts,https://www.gdrsd.org/o/gdrhs,https://www.gdrsd.org/staff
144,general mclane high school,edinboro,pennsylvania,https://www.generalmclane.net/schools/general-mclane-high-school/,https://www.generalmclane.net/general-mclane-school-district/employee-directory/
145,general trass high school,lake providence,louisiana,https://www.generaltrasshighschool.org/,https://www.generaltrasshighschool.org/our-staff
146,slocomb high school,slocomb,alabama,https://www.genevacountyschools.com/slocombhs,https://www.genevacountyschools.com/site/Default.aspx?PageType=1&SiteID=17&ChannelID=1262&DirectoryType=6
147,geneva high school,geneva,new york,https://www.genevacsd.org/highschool,https://www.genevacsd.org/Page/286
148,geneva high school,geneva,ohio,https://www.genevaschools.org/o/ghs,https://www.genevaschools.org/o/ghs/staff
149,genoa hugo school,hugo,colorado,https://www.genoahugo.org/,https://genoahugo.org/en-US/staff
150,genesee valley central school,belmont,new york,https://www.genvalley.org/,https://www.genvalley.org/domain/269
151,gering high school,gering,nebraska,https://www.geringschools.net/o/high-school,https://www.geringschools.net/o/high-school/staff
152,gerstell academy,finksburg,maryland,https://www.gerstell.org/#/,https://www.zoominfo.com/pic/gerstell-academy/44091239
153,alliance gertz ressler high school,los angeles,california,https://www.gertzresslerhigh.org/,https://www.gertzresslerhigh.org/apps/staff/
154,gloversville high school,gloversville,new york,https://www.gesdk12.org/o/ghs,https://www.gesdk12.org/o/ghs/staff/
155,green forest high school,green forest,arkansas,https://www.gf.k12.ar.us/highschool,https://www.gf.k12.ar.us/14759_1
156,great falls high school,great falls,montana,https://www.gfps.k12.mt.us/GFHS,https://www.gfps.k12.mt.us/gfhs_staff_directory
157,central high school,grand forks,north dakota,https://www.gfschools.org/gfc,https://www.gfschools.org/domain/1245
158,red river high school,grand forks,north dakota,https://www.gfschools.org/redriver,https://www.gfschools.org/Page/8509
159,glens falls senior high school,glens falls,new york,https://www.gfsd.org/high-school/,https://www.gfsd.org/staff-directory-results/
160,gfw juniorsr high school 6 12,winthrop,minnesota,https://www.gfwschools.org/,https://www.gfwschools.org/staff/
161,gholson school,waco,texas,https://www.gholsonisd.org/,https://www.gholsonisd.org/contactus
162,gilmanton high school,gilmanton,wisconsin,https://www.ghs.k12.wi.us/schools/high/,https://www.ghs.k12.wi.us/schools/high/staff-directory.cfm
163,grant high school,dry prong,louisiana,https://www.ghscougars.com/,https://www.ghscougars.com/
164,garner hayfield ventura high school,garner,iowa,https://www.ghvschools.org/garner-hayfield-venturahighschool_home.aspx,https://www.ghvschools.org/StaffDirectory.aspx
165,oscar a carlson high school,rockwood,michigan,https://www.gibdist.net/carlson-high,https://www.gibdist.net/
166,gibraltar high school,fish creek,wisconsin,https://www.gibraltar.k12.wi.us/,https://www.gibraltar.k12.wi.us/
167,giddings high school,giddings,texas,https://www.giddingsisd.net/o/ghs,https://www.giddingsisd.net/staff
168,campo verde high school,gilbert,arizona,https://www.gilbertschools.net/campoverdehigh,https://www.gilbertschools.net/Page/664
169,gilbert high school,gilbert,arizona,https://www.gilbertschools.net/gilberthigh,https://www.gilbertschools.net/Page/692
170,gps global academy,gilbert,arizona,https://www.gilbertschools.net/global,https://www.gilbertschools.net/Page/699
171,mesquite high school,gilbert,arizona,https://www.gilbertschools.net/mesquitehigh,https://www.gilbertschools.net/Page/707
172,northwest high school,grand island,nebraska,https://www.ginorthwest.org/category/schools/high-school/,https://www.ginorthwest.org/staff/directory/high-school-staff-directory/
173,girard high,girard,kansas,https://www.girard248.org/vnews/display.v/SEC/GHS,https://www.girard248.org/vnews/display.v/SEC/GHS%7CContact%20Information
174,girard senior high school,girard,ohio,https://www.girardcityschools.org/high-school,https://www.girardcityschools.org/ghs-teacher-pages
175,grosse ile high school,grosse ile,michigan,https://www.gischools.org/schools/highsc,https://www.gischools.org/staff/
176,german international school new york,white plains,new york,https://www.gisny.org/,https://www.gisny.org/our-school/faculty-and-staff-directory
177,german international school of silicon valley,mountain view,california,https://www.gissv.org/gissv-home-english,https://www.gissv.org/gissv-home-english/locations/saturday-school/facandstaff
178,grantsburg high,grantsburg,wisconsin,https://www.gk12.net/page/2456,https://www.gk12.net/page/members/details/123
179,gladewater high school,gladewater,texas,https://www.gladewaterisd.com/Domain/11,https://www.gladewaterisd.com/domain/200
180,gladwin high school,gladwin,michigan,https://www.gladwinschools.net/Page/193,https://www.gladwinschools.net/
181,minerva high school,minerva,ohio,https://www.gladwinschools.net/o/ghs,https://www.mlsd.sparcc.org/directory
182,glasscock county mshs,gibson,georgia,https://www.glascock.k12.ga.us/,https://www.glascock.k12.ga.us/
183,glasgow high school,glasgow,montana,https://www.glasgow.k12.mt.us/,https://www.glasgow.k12.mt.us/staff
184,glass city academy,toledo,ohio,https://www.glasscityacademy.org/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.zoominfo.com/pic/glass-city-academy/346720770
185,global learning charter public school,new bedford,massachusetts,https://www.glcps.org/,https://www.glcps.org/apps/staff/
186,glen cove high school,glen cove,new york,https://www.glencoveschools.org/hs,https://www.glencoveschools.org/domain/274
187,glendale adventist academy,glendale,california,https://www.glendaleacademy.org/,https://hs.glendaleacademy.org/apps/staff/
188,glenpool high school,glenpool,oklahoma,https://www.glenpoolps.org/schools/high/,https://www.glenpoolps.org/staff/st-dir.cfm
189,glen ridge high school,glen ridge,new jersey,https://www.glenridge.org/domain/108,https://www.glenridge.org/site/Default.aspx?PageType=1&SiteID=108&ChannelID=167&DirectoryType=6
190,glenview college preparatory high school,phoenix,arizona,https://www.glenviewcollegeprep.com/,https://www.glenviewcollegeprep.com/apps/staff/
191,glenwood school,smiths station,alabama,https://www.glenwoodgators.org/,https://www.glenwoodgators.org/apps/staff/
192,global concepts charter school,buffalo,new york,https://www.globalccs.org/domain/40,https://www.globalccs.org/domain/24
193,global impact stem academy,springfield,ohio,https://www.globalimpactacademy.org/,https://www.globalimpactacademy.org/staff
194,globe high school,globe,arizona,https://www.globeschools.org/o/ghs,https://www.globeschools.org/o/ghs/staff
195,green lake high school,green lake,wisconsin,https://www.glsd.k12.wi.us/,https://www.greenlakeschool.com/district/Faculty.cfm
196,greater lawrence regional vocational technical,tyngsborough,massachusetts,https://www.gltech.org/,https://www.glts.net/domain/1106
197,gr lawrence regional vocational technical,andover,massachusetts,https://www.glts.net/,https://www.glts.net/domain/1106
198,greater miami adventist academy,miami,florida,https://www.gma.edu/,https://www.gma.edu/staff/staff.html
199,greenwood mennonite school,greenwood,delaware,https://www.gms-flames.org/,https://www.gms-flames.org/team
200,green meadow waldorf school,chestnut ridge,new york,https://www.gmws.org/,https://www.gmws.org/our-people/
201,gr new bedford vocational technical,new bedford,massachusetts,https://www.gnbvt.edu/,https://www.gnbvt.edu/about-us-school/faculty-staff/
202,gurdon high school,gurdon,arkansas,https://www.go-devils.net/page/ghs,https://www.go-devils.net/staff
203,vacaville christian schools,vacaville,california,https://www.go-vcs.com/,https://www.go-vcs.com/faculty-staff/
204,canyon rose academy,tucson,arizona,https://www.go2rose.com/schools/canyon-rose-academy/,https://www.go2rose.com/schools/canyon-rose-academy/
205,mountain rose academy,tucson,arizona,https://www.go2rose.com/schools/mountain-rose-academy/,https://www.go2rose.com/schools/mountain-rose-academy/
206,pima rose academy,tucson,arizona,https://www.go2rose.com/schools/pima-rose-academy/,https://www.go2rose.com/schools/pima-rose-academy/
207,goal digital academy,mansfield,ohio,https://www.goaldigital.org/,https://www.goaldigital.org/our-staff
208,anderson preparatory academy,anderson,indiana,https://www.goapa.org/,https://www.zoominfo.com/pic/anderson-preparatory-academy/346505190
209,bridgeport high school,bridgeport,michigan,https://www.gobearcats.net/o/bhs,https://www.bridgeportisd.net/domain/261
210,gobles high school,gobles,michigan,https://www.gobles.org/o/gmhs,https://www.gobles.org/staff
211,beavercreek high school,beavercreek,ohio,https://www.gocreek.org/o/bhs,https://www.gocreek.org/staff
212,groveport madison high school,groveport,ohio,https://www.gocruisers.org/highschool_home.aspx,https://www.gocruisers.org/staffdirectory8880.aspx
213,robert h goddard high school,ozone park,new york,https://www.goddardhs308.org/,https://www.goddardhs308.org/staff_directory
214,lee high school,wyoming,michigan,https://www.godfrey-lee.org/schools/lee-high-school/,https://www.godfrey-lee.org/staff-directory/
215,godley high school,godley,texas,https://www.godleyisd.net/ghs,https://www.godleyisd.net/domain/198
216,goldendale high school,goldendale,washington,https://www.goldendaleschools.org/domain/14,https://www.goldendaleschools.org/Page/97
217,highlands senior high school,natrona heights,pennsylvania,https://www.goldenrams.com/Domain/77,https://www.goldenrams.com/domain/65
218,golden view classical academy,golden,colorado,https://www.goldenviewclassical.org,https://www.goldenviewclassical.org/staff/
219,menominee high school,menominee,michigan,https://www.gomaroons.org/page/about-menominee-junior-senior-high-school,https://www.gomaroons.org/staff
220,gompers preparatory academy,san diego,california,https://www.gompersprep.org/,https://www.gompersprep.org/about/leadership/
221,oakesdale high school,oakesdale,washington,https://www.gonighthawks.net/,https://www.gonighthawks.net/staff
222,gonzales high school,gonzales,texas,https://www.gonzalesisd.net/Domain/9,https://www.gonzalesisd.net/domain/1366
223,goodwill excel center pcs,washington,district of columbia,https://www.goodwillexcelcenter.org/,https://www.goodwillexcelcenter.org/
224,excel center anderson,anderson,indiana,https://www.goodwillindy.org/leadership/,https://excelcenter.org/
225,st andrews episcopal school,ridgeland,michigan,https://www.gosaints.org/,https://www.gosaints.org/about/faculty-and-staff-directory
226,goshen high school,goshen,alabama,https://www.goshenhs.com/,https://www.goshenhs.com/staffpage
227,gosnell high school,gosnell,arkansas,https://www.gosnellschool.net/,https://www.gosnellschool.net/staff
228,grafton high school,grafton,north dakota,https://www.gospoilers.org/o/ghs,https://www.gospoilers.org/page/staff-directories
229,grandville calvin christian school,grandville,michigan,https://www.gosquires.org/hs/,https://www.gosquires.org/about-gccs/staff/
230,tierra encantada charter school,sante fe,new mexico,https://www.gotecs.org/,https://www.gotecs.org/apps/staff/
231,williamston high school,williamston,michigan,https://www.gowcs.net/Domain/8,https://www.gowcs.net/Page/511
232,crosswinds high school,grand prairie,texas,https://www.gpisd.org/crosswinds,https://www.gpisd.org/domain/16645
233,john dubiski career high school,grand prairie,texas,https://www.gpisd.org/dubiski,https://www.gpisd.org/domain/16730
234,grand prairie fine arts academy,grand prairie,texas,https://www.gpisd.org/gpfineartsacademy,https://www.gpisd.org/domain/16769
235,greenfield high school,greenfield,massachusetts,https://www.gpsk12.org/greenfield-high-school,https://www.gpsk12.org/gps-district/administration/all-staff-directory
236,blanchet catholic school,salem,oregon,https://www.gracebrethrenschools.com/,https://www.blanchetcatholicschool.com/about-us/faculty.cfm
237,grace brethren schools,simi valley,california,https://www.gracebrethrenschools.com/,https://www.gracebrethrenschools.com/about-gbs/our-people/faculty-and-staff-directory
238,grace academy,chattanooga,tennessee,https://www.gracechatt.org/www,https://www.gracechatt.org/contact-us
239,grace christian school,raleigh,north carolina,https://www.gracechristian.net/,https://www.gracechristian.net/apps/pages/index.jsp?uREC_ID=1855435&type=d&pREC_ID=2078097
240,grace christian school,medford,oregon,https://www.gracechristian.org/,https://www.gracechristian.org/cchs-staff/
241,grace christian school,anchorage,alaska,https://www.gracechristianalaska.org/,https://www.gracechristianalaska.org/about-gcs/faculty-staff/
