school_name,city,state,website,directory
jonata middle,buellton,california,http://buelltonjms.sharpschool.net/,https://www.buelltonusd.org/administration/staff_directory
brattleboro union high school,brattleboro,vermont,http://buhs.wsesdvt.org/,http://buhs.wsesdvt.org/faculty.html
jimmy c draughn high school,valdese,north carolina,http://burkedhs.ss14.sharpschool.com/,https://dhs.burke.k12.nc.us/faculty__staff
calexico mission school,calexico,california,http://calexicomissionschool.com/,https://calexicomissionschool.com/about-us/faculty-staff-directory/
carbon career and technical institute,jim thorpe,pennsylvania,http://carboncti.org/,http://carboncti.org/contact-us/faculty/
cazenovia middle school,cazenovia,new york,http://cazenoviacsd.com/,https://www.cazenoviacsd.com/getstaff.cfm
crested butte community school,crested butte,colorado,http://cbcs.gunnisonschools.net/,https://cbelementary.gunnisonschools.net/cb_elementary/staff_directory
benedictine high school,cleveland,ohio,http://cbhs.net,https://cbhs.net/about/faculty-and-staff/
creative connections arts academy,north highlands,california,http://ccaa.twinriversusd.org/,https://www.cde.ca.gov/schooldirectory/details?cdscode=34765050108795
christian collegiate academy,gulfport,mississippi,http://ccagulfport.com/,https://ccagulfport.com/about-cca/faculty-staff/
cedars academy next generation h s at highland,austin,texas,http://cedars-hs.org/,https://cedars-hs.org/apps/staff/
central linn high school,halsey,oregon,http://centrallinn.k12.or.us/high-school/,https://www.centrallinn.k12.or.us/
central noble high school,albion,indiana,http://centralnoble.k12.in.us/cnjshs/cnjshs-home,https://www.centralnoble.k12.in.us/cnjshs/faculty-staff-directory
charlottesville high school,charlottesville,virginia,http://charlottesvilleschools.org/chs/,http://charlottesvilleschools.org/chs/staff/
john f kennedy senior high school,cheektowaga,new york,http://cheektowagasloan.org/domain/8,https://www.cheektowagasloan.org/site/Default.aspx?PageType=1&SiteID=4&ChannelID=84&DirectoryType=6
centerville sr high school,centerville,indiana,http://chs.centerville.k12.in.us/,http://www.centerville.k12.in.us/index.php/contact/contact-a-teacher/centerville-high-school-teachers
clatskanie middlehigh school,clatskanie,oregon,http://clatskaniehigh.or.ch.schoolinsites.com/,https://middlehighclatskanieor.schoolinsites.com/staffdirectory
columbia montour avts,bloomsburg,pennsylvania,http://cmvt.us/,https://cmvt.us/?page_id=63
el capitan public school,colorado city,arizona,http://coloradocusd.cyberschool.com/ECHS,https://www.elcap.us/District/91-Untitled.html
corner high school,dora,alabama,http://cornerhigh.jefcoed.com/,https://www.jefcoed.com/domain/1842
cornerstone charter school,phoenix,arizona,http://cornerstonehs.org/cwp/,http://cornerstonehs.org/cwp/staff/
creekside charter,olympic valley,california,http://creeksidesquaw.org/,https://www.cde.ca.gov/schooldirectory/details?cdscode=31668520120105
crescent school,hempstead,new york,http://crescenthighschool.com/,https://crescentk12.org/faculty-staff/
digital arts and technology,albuquerque,new mexico,http://datacharter.org/,https://www.aps.edu/schools/schools/digital-arts-and-technology-academy
davis high school,davis,oklahoma,http://davis.k12.ok.us,https://www.daviswolves.org/staff
douglas city elementary,douglas city,california,http://dcesd.org/,http://dcesd.org/index.php/douglas-city/staff-directory
denbigh high school,newport news,virginia,http://denbigh.nn.k12.va.us/,http://denbigh.nn.k12.va.us/faculty.html
devine high school,devine,texas,http://dhs.devineisd.org/,https://dhs.devineisd.org/staff_directory
discovery high school,newton,north carolina,http://dhs.newton-conover.org/,https://dhs.newton-conover.org/o/dhs/staff
dillon christian school,dillon,south carolina,http://dillonchristianschool.org/,https://www.dillonchristianschool.org/faculty-and-staff/
desert mirage high school,thermal,california,http://dmhs.cvusd.us/,https://dmhs.cvusd.us/about-us/staff-directory
democracy prep endurance charter school,new york,new york,http://dpehs.democracyprep.org/about/,https://dpems.democracyprep.org/staff-info/
democracy prep harlem high school,new york,new york,http://dphhs.democracyprep.org/,https://democracyprep.org/ny/dphhs/
hector j garcia early college high school,laredo,texas,http://earlycollege.elisd.org/,https://earlycollege.elisd.org/o/hjgechs/staff
east high,salt lake city,utah,http://east.slcschools.org/,https://east.slcschools.org/our-school/administration-staff-directory
east coweta high school,newnan,georgia,http://echs.cowetaschools.net/en-US,https://echs.cowetaschools.net/en-US/staff
j d clement early college high school,durham,north carolina,http://echs.dpsnc.net/,https://www.dpsnc.net/Page/2215
emily griffith high school,denver,colorado,http://eghs.egtc.net/,http://eghs.egtc.net/our-staff/
elgin high school,elgin,oklahoma,http://elginhs.sharpschool.net/,https://hs.elginps.org/staff_directory
emery secondary,emeryville,california,http://emeryhigh.com/,https://emeryusd.k12.ca.us/faculty--staff-directory.html
epic high school north,south richmond hill,new york,http://epicschoolsnyc.org/,http://www.epicnorth.org/team-list
escambia county high school,atmore,alabama,http://escambia.al.ech.schoolinsites.com/,http://www.escambia.al.ech.schoolinsites.com/?PageName='Alumni'
eureka county high school,eureka,nevada,http://eurekacountyhs.ss8.sharpschool.com/,https://www.eureka.k12.nv.us/staff/e_c_h_s_staff
excelsior springs high,excelsior springs,missouri,http://excelsiorshs.ss9.sharpschool.com,https://excelsiorshs.ss9.sharpschool.com/our_faculty/high_school_faculty_directory
family community christian school,winnsboro,louisiana,http://fccswarriors.weebly.com/,http://fccswarriors.weebly.com/
faith christian school,rocky mount,north carolina,http://fcspatriots.com/,https://www.fcspatriots.com/staff_directory
forest school,oak grove,louisiana,http://fhs.sharpschool.net/,https://www.wcpsb.com/FacultyStaffFHS.aspx
fontainebleau high school,mandeville,louisiana,http://fontainebleauhigh.stpsb.org/,https://fontainebleauhigh.stpsb.org/our-school/faculty-and-staff
fowler high school,fowler,michigan,http://fowlerschools.net/,https://fowlerschools.net/staff-directory/
phillip j patino school of entrepreneurship,fresno,california,http://fresnounified.org,https://www.cde.ca.gov/schooldirectory/details?cdscode=10621660132134
fall river junior senior high,mcarthur,california,http://frhs.frjusd.org/,https://frjusd-frhs.ss12.sharpschool.com/staff_directory
fair view high continuation,chico,california,http://fvhs.chicousd.org/,http://fvhs.chicousd.org/Staff-Directory/index.html
flowing wells high school,tucson,arizona,http://fwhs.flowingwellsschools.org/,https://fwhs.flowingwellsschools.org/the_cab_way/our_staff
east columbus high school,lake waccamaw,north carolina,http://gatorseast.com/wordpress1/,https://www.zoominfo.com/pic/east-columbus-high-school/12190860
greensburg community high school,greensburg,indiana,http://gchs.greensburg.k12.in.us/,https://gchs.greensburg.k12.in.us/staff_directory
greencastle high school,greencastle,indiana,http://ghs.greencastle.k12.in.us/,https://ghs.greencastle.k12.in.us/staff_directory
gridley high,gridley,california,http://ghs.gusd.org/,http://ghs.gusd.org/Staff-Directory/index.html
central catholic middle and high schools,grand island,new york,http://gicentralcatholic.org/,https://www.grandislandschools.org/domain/70
gilpin county undivided high school,black hawk,colorado,http://gilpin.k12.co.us/school_info/gilpin_secondary,https://gilpin.k12.co.us/en-US/staff
gladstone area high school,gladstone,michigan,http://gladstone.ss8.sharpschool.com/,https://www.gladstoneschools.com/staff_directory
gleason school,gleason,tennessee,http://gls.weakleyschools.com/,https://gls.weakleycountyschools.com/staff_directory
goode stem academy high school,chicago,illinois,http://goodestemacademy.org/,https://www.goodestemacademy.org/directory
hampton park christian school,greenville,south carolina,http://hamptonpark.school/,https://hamptonpark.school/about/faculty/
harding fine arts academy,oklahoma city,oklahoma,http://hardingfinearts.org/,https://hardingfinearts.org/staff-teachers/
houston high school,houston,ohio,http://hardinhouston.org/jr-sr-high-school/,http://hardinhouston.org/staff-directory/
the harid conservatory,boca raton,florida,http://harid.edu/,https://www.linkedin.com/in/rn-j-48122754
helen bernstein high school,hollywood,california,http://hbdragons.com/,http://hbdragons.com/staff-directory/
heritage christian academy,hopkinsville,kentucky,http://hcahopkinsville.org/,http://hcahopkinsville.org/staff.html
heritage high school,newport news,virginia,http://heritage.nn.k12.va.us/,http://heritage.nn.k12.va.us/faculty.html
hero high school,bronx,new york,http://herohigh.net/,http://herohigh.net/
hillcrest high,midvale,utah,http://hhs.canyonsdistrict.org/,https://hhs.canyonsdistrict.org/administration-staff/
humboldt high school,humboldt,tennessee,http://hhs.hcsvikings.org/,http://hhs.hcsvikings.org/239865_2
hughson high,hughson,california,http://hhs.hughsonschools.org/,https://hhs.hughsonschools.org/en-US/staff
hickory christian academy,hickory,north carolina,http://hickorychristianacademy.com/,https://hickorychristianacademy.com/board-and-staff/
highland high,salt lake city,utah,http://highland.slcschools.org/,https://highland.slcschools.org/our-school/administration-staff-directory
central lee high school,donnellson,iowa,http://highschool.centrallee.org/,https://www.centrallee.org/page/district-staff-directory
heavener high school,heavener,oklahoma,http://highschool.heavenerschools.org/,https://www.heavenerschools.org/staff
hadley luzerne high school,lake luzerne,new york,http://hlhs.hlcs.org/mobile/default.asp,https://hljshshadleyluzerneny.schoolinsites.com/schoolstaff
holdenville high school,holdenville,oklahoma,http://holdenville.k12.ok.us/SITES/hhs/high_school.htm,https://www.holdenville.k12.ok.us/FACULTY/FACULTY.htm
earlham high school,earlham,iowa,http://home.ecsdcards.com/schools/high,https://ecshs.ss16.sharpschool.com/staff_directory
honey grove high school,honey grove,texas,http://honeygroveisd.net/,https://www.honeygroveisd.net/184711_2
hoosick falls middle school,hoosick falls,new york,http://hoosickfallscsd.org/middle-school/,https://www.hoosickfallscsd.org/staff
bayless senior high,saint louis,missouri,http://hs.baylessk12.org/,https://www.baylessk12.org/about-us/directory
bellefontaine high school,bellefontaine,ohio,http://hs.bellefontaine.k12.oh.us/,https://hs.bellefontaine.k12.oh.us/staff_directory
lovell high school,lovell,wyoming,http://hs.bgh2.org/,https://hs.bgh2.org/apps/staff/
south hunterdon regional high school,lambertville,new jersey,http://hs.shrsd.org/,https://hs.shrsd.org/staff_directory
cannon falls secondary school,cannon falls,minnesota,http://hsms.cannonfallsschools.com/,https://hsms.cannonfallsschools.com/staff_directory
high technical high school,secaucus,new jersey,http://hths.hcstonline.org/,https://hths.hcstonline.org/about-us/contact-us-teachers-and-staff/
hoopa valley high school,hoopa,california,http://hvhs.ktjusd.k12.ca.us/,http://hvhs.ktjusd.k12.ca.us/Staff-Directory/index.html
ider school,ider,alabama,http://iderhighschool.ss18.sharpschool.com/,https://iderhighschool.ss18.sharpschool.com/school_links/staff_pages
international high school at union square,new york,new york,http://ihs-us.org/,https://www.schools.nyc.gov/schools/M438
county line high school,branch,arkansas,http://indians.wsc.k12.ar.us/,https://indians.wsc.k12.ar.us/52328_2?offset=12&ppl=2
yccs innovations of arts integr high school,chicago,illinois,http://innovationshs.org/,https://www.innovationshs.org/our-staff.html
barnum secondary,barnum,minnesota,http://isd91.org/high-school/,https://isd91.org/home/staff-directory/
junction city sr high school,junction city,kansas,http://jchs.usd475.org/,https://www.jchigh.org/apps/staff/
thomas jefferson high school,cedar rapids,iowa,http://jefferson.crschools.us/,https://crschools.us/schools/high-schools/
corner canyon high school,sandy,utah,http://jhs.canyonsdistrict.org/Jordan_High_School/Home.html,https://cchs.canyonsdistrict.org/administration-staff/
john milledge academy,milledgeville,georgia,http://johnmilledge.org/,https://www.johnmilledge.org/about/faculty-and-staff/
bloomfield junior senior high school,bloomfield,indiana,http://jrsrhsbloomfieldk12.ss14.sharpschool.com/,https://jrsrhs.bloomfield.k12.in.us/staff_directory
jumpertown high school,booneville,mississippi,http://jumpertowncardinals.com/,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=2803750&ID=280375000717
southern university laboratory virtual school,baton rouge,louisiana,http://k12.com,https://sulabschool.com/faculty
kalida high school,kalida,ohio,http://kalidaschools.org/,http://kalidaschools.org/cms/index.php?page=faculty-staff-2
kingman academy of learning high school,kingman,arizona,http://kaolaz.org/calendar.html,https://www.kaolaz.org/apps/staff/
central high school,kirtland,new mexico,http://kchs.centralschools.org/,https://www.ccsdnm.org/StaffDirectory.aspx
kipp ma,lynn,massachusetts,http://kippma.org/,https://kippma.org/kipp-forward/meet-the-team/
falls city high school,klamath falls,oregon,http://ksd.dev.projecta.com/SectionIndex.asp?SectionID=58,https://www.kfalls.k12.or.us/staff
lafayette christian school,lagrange,georgia,http://lafayettechristianschool.com/,https://lafayettechristianschool.com/faculty-staff
lafayette high school,oxford,mississippi,http://lafayettecsdhs.ss16.sharpschool.com/,https://lafayettecsdhs.ss16.sharpschool.com/our_school/faculty_staff
louisiana school for agricultura science,bunkie,louisiana,http://lasas.avoyellespsb.edlioschool.com/,https://lasas.avoyellespsb.com/staff
laurel christian school,laurel,mississippi,http://laurelchristian.org/,https://www.laurelchristian.org/about
lewis cass high school,walton,indiana,http://lchs.lewiscass.net/,http://www.lewiscass.net/staff-directory/
lewis central high school,council bluffs,iowa,http://lchs.lewiscentral.org/,https://lchs.lewiscentral.org/staff-directory
leake academy,madden,mississippi,http://leakeacademy.org/,https://leakeacademy.org/teachers/
leland public school,leland,michigan,http://lelandschool.ss16.sharpschool.com/contact_us/staff_directory,https://www.lelandschool.com/for_staff/staff_directory
lewis county high school,weston,west virginia,http://lewisboe.com/lchs/page/home,https://www.lewisboe.com/staff
lamphere high school,madison heights,michigan,http://lhs.lamphereschools.org/,https://lhs.lamphereschools.org/contact_l_h_s/staff_directory
leicester high school,leicester,massachusetts,http://lhs.leicester.k12.ma.us/,https://lhs.leicester.k12.ma.us/contact_us/staff_directory
literacy first charter,alpine,california,http://libertychs.org/faculty.php,https://www.lfcsinc.org/faculty.php
liberty center high school,liberty center,ohio,http://libertycls.ss9.sharpschool.com/schools/high_school,https://libertycls.ss9.sharpschool.com/contact_us/staff_directory
linden kildare high school,linden,texas,http://lkcisd.net/,https://www.lkcisd.net/100760_2
los molinos high,los molinos,california,http://lmhs.lmusd.net/,http://lmhs.lmusd.net/Staff-Directory/
lincoln orens middle school,island park,new york,http://loms.ips.k12.ny.us/,http://loms.ips.k12.ny.us/directory/faculty
lone jack high,lone jack,missouri,http://lonejackc6.net/high_school/,https://lonejackc6.net/directory/
louisiana high,louisiana,missouri,http://louisiana.k12.mo.us/,https://louisiana.ss16.sharpschool.com/district_staff
lees summit senior high,lees summit,missouri,http://lshs.lsr7.org/,https://lshs.lsr7.org/stafflshs/
lund high school,lund,nevada,http://lund.whitepine.k12.nv.us/,https://lund.whitepine.k12.nv.us/administrativestaff
mark armijo academy,albuquerque,new mexico,http://markarmijo.com/,http://markarmijo.com/faculty/teacher/
marshall academy,marshall,michigan,http://marshallacademy.org,https://www.marshallpublicschools.org/district/directory
marine academy of science and technology,north miami,florida,http://mastfiu.dadeschools.net/,https://mastfiu.org/apps/staff/
mcnairy central high school,selmer,tennessee,http://mchscats.org/,http://mchscats.org/index.php/about/meet-our-administration
mclean school,mclean,texas,http://mcleanisd.com/,https://www.mcleanisd.com/vnews/display.v/ART/59bbdcf95c488
mendota township high school,mendota,illinois,http://mendotahs.org,https://www.mendotahs.org/
metter career academy,metter,georgia,http://metter-high-school.candler-county-school-district.schoolblocks.com/,https://www.metter.org/en-US/staff
madison grant high school,fairmount,indiana,http://mghs.mgusc.k12.in.us/,http://mghs.mgusc.k12.in.us/Our-Staff
mansfield high school,mansfield,massachusetts,http://mhs.mansfieldschools.com/,https://mhs.mansfieldschools.com/about/staff_directory
modoc high school,alturas,california,http://mhs.modoc.k12.ca.us/,https://www.cde.ca.gov/schooldirectory/details?cdscode=25735852535409
morrisonville high school,morrisonville,illinois,http://mhsmohawks.weebly.com,https://www.mohawks.net/
mid buchanan senior high,faucett,missouri,http://midbuchananhighschool.ss14.sharpschool.com/,https://midbuchananhighschool.ss14.sharpschool.com/staff_directory
mill river union high school,north clarendon,vermont,http://millriverschools.org/mru/,https://millriverschools.org/mru/about-us/staff/
city of life christian academy,kissimmee,florida,http://mostsacredheartschool.org/,https://www.colca.education/
sacred heart elementary and high school,sedalia,missouri,http://mostsacredheartschool.org/,https://www.gogremlins.com/about-us/staff-directory/
thousand islands middle school,clayton,new york,http://ms.1000islandsschools.org/,https://www.1000islandsschools.org/about-us/staff-directory
the math and science exploratory school ms 447,brooklyn,new york,http://ms447.org/,https://ms447.org/staff-directory/
mt saint mary academy,little rock,arkansas,http://mtstmary.edu,https://mtstmary.edu/about-us/faculty-staff-directory/
mesilla valley christian schools,las cruces,new mexico,http://mvcsonline.com/,https://www.zoominfo.com/pic/mesilla-valley-christian-schools/75337773
monte vista senior high school,monte vista,colorado,http://mvhs.monte.k12.co.us/,https://www.pirates.monte.k12.co.us/mvhs-staff
navarro early college high school,austin,texas,http://navarro.austinschools.org/,https://www.austinisd.org/schools/navarro/directory
north bend central high school,north bend,nebraska,http://nbtigers.org/,https://www.nbtigers.org/astaff
hartville high,hartville,missouri,http://new-hartville-k12-mo-us.secure33.ezhostingserver.com/,https://new.hartville.k12.mo.us/index.php/category/administration/
narrows high,narrows,virginia,http://nhs.gilesk12.org/,https://gcpsnhs.ss13.sharpschool.com/faculty_/admin___faculty_directory
north kitsap high school,poulsbo,washington,http://nkhs.nkschools.org/,https://nkhs.nkschools.org/cms/One.aspx?portalId=419931&pageId=532911
nodaway valley high school,greenfield,iowa,http://nodawayvalley.org/,https://www.nodawayvalley.org/staff-list
polk full time eschool,lakeland,florida,http://nodawayvalley.org/,https://polkschoolsfl.com/staffdirectory/
north cedar academy,rusk,wisconsin,http://northcedar.net/,https://northcedar.net/staff-directory
early college east high,havelock,north carolina,http://northwestjmsteel.ss10.sharpschool.com/,https://www.cravenk12.org/domain/1252
james m steele high school,roanoke,texas,http://northwestjmsteel.ss10.sharpschool.com/,https://steeleechs.nisdtx.org/our-staff
north platte catholic schools,north platte,nebraska,http://npcschools.org/,http://npcschools.org/
north sevier high school,salina,utah,http://nshs.seviersd.org/,https://www.seviersd.org/index.php/nshs/nshs-faculty.html
north valley baptist school,santa clara,california,http://nvbschools.org/,https://nvbschools.org/about-us/staff-directory/
nevada learning academy,las vegas,nevada,http://nvlearningacademy.net/,https://nvlearningacademy.net/apps/staff/
high school for community leadership,jamaica,new york,http://nychscl.org/,https://nychscl.org/staff-directory/
oakdale secondary school,chico,california,http://oakdale.chicousd.org/,http://oakdale.chicousd.org/Staff-Directory/index.html
odyssey charter school,wilmington,delaware,http://odysseycharterschooldel.com/,http://odysseycharterschooldel.com/staff-directory/
odyssey charter high school,las vegas,nevada,http://odysseyk12.org/,https://odysseyk12.org/directory/
orchard farm sr high school,st charles,missouri,http://ofsd.sharpschool.com/schools/orchard_farm_high_school,https://www.ofsd.k12.mo.us/district/contact_us/staff_directory
opp high school,opp,alabama,http://ohs.oppcityschools.com/,https://ohs.oppcityschools.com/staff
orcas island high school,eastsound,washington,http://ohs.orcasislandschools.org/,https://www.orcasislandschools.org/staff_directory
okeechobee high school,okeechobee,florida,http://okeechobeehighschool.sites.thedigitalbell.com/,http://okeechobeehighschool.sites.thedigitalbell.com/faculty-staff-listing
okeechobee virtual school,okeechobee,florida,http://okeechobeevirtualschool.sites.thedigitalbell.com/,http://okeechobeevirtualschool.sites.thedigitalbell.com/faculty
pace high school,new york,new york,http://pacehsnyc.org/site/,https://www.schools.nyc.gov/schools/M298
paint rock school,paint rock,texas,http://paintrock.netxv.net/,https://www.paintrockisd.net/24353_2
paintsville high school,paintsville,kentucky,http://paintsville.kyschools.us/index.php/high-school/,http://paintsville.kyschools.us/index.php/staff-directory/
norfork high school,norfork,arkansas,http://panthers.k12.ar.us/,https://www.norforkschools.org/staff.html
pettisville high school,pettisville,ohio,http://pettisvilleschools.org,https://www.pettisvilleschools.org/staff
pettus secondary,pettus,texas,http://pettusisd.com/,https://www.pettusisd.org/apps/staff/
paonia high school,paonia,colorado,http://phs.deltaschools.com/,https://pk8.deltaschools.com/en-US/staff
parowan high,parowan,utah,http://phs.ironk12.org/,https://www.parowan.org/community/page/schools-%E2%80%93-parowan-high-school-teachers
parowan high school,parowan,utah,http://phs.ironk12.org/,https://phs.irondistrict.org/o/phs/staff
pickens academy,carrollton,alabama,http://pickensacademy.org/,https://pickensacademy.org/about-us/faculty-and-staff/
pocomoke middle,pocomoke city,maryland,http://pocomokemiddle.org/,https://pocomokemiddle.org/staff_directory
williamsburg christian academy,williamsburg,virginia,http://private-christian-school.williamsburgchristian.org/,https://private-christian-school.williamsburgchristian.org/about-us/meet-the-leadership-team/
pearl river middle school,pearl river,new york,http://prms.pearlriver.org/,https://prms.pearlriver.org/directory/faculty
ps 122 mamie fay,queens,new york,http://ps122q.org/,http://ps122q.org/facultystaff.html
ps 171 patrick henry,new york,new york,http://ps171.org/,https://www.ps171.org/directory/faculty
30th avenue school,queens,new york,http://ps300q.org/,https://www.schools.nyc.gov/schools/Q300
ps 164 queens valley,flushing,new york,http://psms164.com/,https://www.schools.nyc.gov/schools/Q164
paula hedbavny school,new york,new york,http://psms278.org/,https://www.schools.nyc.gov/schools/M278
putnam valley middle school,putnam valley,new york,http://pvcsd.org/index.php/ms/,https://pvcsd.org/index.php/ms/middle-school-directory/
queens high school for language studies,flushing,new york,http://qhsls.org/,https://qhsls.org/
rowan county early college,salisbury,north carolina,http://rcec.rss.k12.nc.us/,https://www.rssed.org/Domain/37
ridgewood preparatory school,metairie,louisiana,http://ridgewoodprep.com/,https://www.linkedin.com/school/ridgewood-preparatory-school/
rising leaders academy,panama city,florida,http://risingleadersacademy.org/,https://risingleadersacademy.org/our-staff/
rainey mccullers school of the arts,columbus,georgia,http://rmsota.org/,http://rmsota.org/index.php/faculty-and-staff/
rockland boces,west nyack,new york,http://rocklandboces.org/,http://rocklandboces.org/staff-resources/
rock springs high school,rock springs,wyoming,http://rshs.sweetwater1.org/,http://rshs.sweetwater1.org/staffteams
real salt lake academy high school,herriman,utah,http://rslacademy.org/,https://www.rsl.com/academy/technical-staff
rock valley high school,rock valley,iowa,http://rvcsd.net/index.php/welcome-to-rock-valley-community-high-school/,https://www.rvcsd.org/en/staff
st bernards academy,eureka,california,http://saintbernards.us/,https://saintbernards.us/about/admin-faculty/
sterling heights senior high school,sterling heights,michigan,http://school.wcskids.net/shhs/,http://school.wcskids.net/shhs/
butler traditional high school,louisville,kentucky,http://schools.jefferson.kyschools.us/High/Butler/,https://schools.jefferson.kyschools.us/high/butler/Staff.html
west jordan high,west jordan,utah,http://schools.jordandistrict.org/westjordanhigh/,https://www.westjordanhigh.org/apps/staff/
schulenburg secondary,schulenburg,texas,http://schulenburgisd.net/campuses/high_school,https://www.schulenburgisd.net/district_info/staff_directory
scott high school,madison,west virginia,http://scotthighskyhawks.com/,http://scotthighskyhawks.com/home-page/faculty/
stevenson high school,stevenson,washington,http://scsd303-shs.ss14.sharpschool.com/,https://shs.scsd303.org/staff_directory
sangre de cristo undivided high school,mosca,colorado,http://sdc.schooldesk.net,https://www.sangreschools.org/
nebo advanced learning center,salem,utah,http://shhs.nebo.edu/,https://alc.nebo.edu/faculty
seymour senior high school,seymour,indiana,http://shs.scsc.k12.in.us/,https://shs.scsc.k12.in.us/faculty/office-staff
calamus wheatland sec attendance center,wheatland,iowa,http://sites.google.com/a/cal-wheat.net/calwheat/,https://www.cal-wheat.k12.ia.us/o/calamus-wheatland-community-school-district/staff
van horn high school,independnce,missouri,http://sites.isdschools.org/vanhorn,https://apps.isdschools.org/directory/#/locations/194c2e62-bf20-4d78-94cb-bc5c7ee8d289/profiles
william chrisman high school,independence,missouri,http://sites.isdschools.org/williamchrisman,https://apps.isdschools.org/directory/#/locations/cf700b8c-2f74-42f6-a1c6-cb6b49f33b2d/profiles
lufkin high school,lufkin,texas,http://sites.lufkinisd.org/lhs/,https://sites.lufkinisd.org/lhs/contact/staff-list/
