,school_name,city,state,website,query,directory
19,arthur and polly mays conservatory of the arts,goulds,florida,http://apmays.dadeschools.net/,"arthur and polly mays conservatory of the arts in goulds, florida staff administration directory link",http://apmays.dadeschools.net/apmc-teachers.asp
20,badger high school,kinsman,ohio,http://badgerbraves.org/?page_id=32,"badger high school in kinsman, ohio staff administration directory link",http://badgerbraves.org/?page_id=242
21,bellwood antis high school,bellwood,pennsylvania,http://bahs.ss9.sharpschool.com/,"bellwood antis high school in bellwood, pennsylvania staff administration directory link",https://bahs.ss9.sharpschool.com/staff_directory
22,jefferson forest high,forest,virginia,http://bedfordjfhs.sharpschool.net/,"jefferson forest high in forest, virginia staff administration directory link",https://bedfordjfhs.sharpschool.net/our_staff/staff_directory
23,beehive science and technology academy,sandy,utah,http://beehiveacademy.org,"beehive science and technology academy in sandy, utah staff administration directory link",https://www.beehiveacademy.org/news-and-events/employees/
24,broadway high,broadway,virginia,http://bhs.rockingham.k12.va.us/,"broadway high in broadway, virginia staff administration directory link",http://bhs.rockingham.k12.va.us/
25,broadway high school,broadway,virginia,http://bhs.rockingham.k12.va.us/,"broadway high school in broadway, virginia staff administration directory link",http://bhs.rockingham.k12.va.us/
26,blackduck secondary,blackduck,minnesota,http://blackduck.k12.mn.us/high-school.html,"blackduck secondary in blackduck, minnesota staff administration directory link",http://blackduck.k12.mn.us/secondary-staff-email.html
27,appalachian school,oneonta,alabama,http://blcsas.ss19.sharpschool.com,"appalachian school in oneonta, alabama staff administration directory link",https://blcsas.ss19.sharpschool.com/staff_directory
28,cleveland high school,cleveland,alabama,http://blcschs.ss19.sharpschool.com,"cleveland high school in cleveland, alabama staff administration directory link",https://blcschs.ss19.sharpschool.com/staff_directory
29,gateways high school,springfield,oregon,http://blog.springfield.k12.or.us/gatewayshighschool/,"gateways high school in springfield, oregon staff administration directory link",https://www.springfield.k12.or.us/Page/8237
30,battle mountain high school,battle mountain,nevada,http://bmhs.lander.k12.nv.us/,"battle mountain high school in battle mountain, nevada staff administration directory link",http://bmhs.lander.k12.nv.us/bmhs-staff.html
31,romney middle school,romney,west virginia,http://boe.hamp.k12.wv.us/65/Romney-Middle-School-RMS,"romney middle school in romney, west virginia staff administration directory link",https://boe.hamp.k12.wv.us/directory.aspx?did=35
32,bolivar high,bolivar,michigan,http://bolivarschoolsbhs.ss18.sharpschool.com/,"bolivar high in bolivar, michigan staff administration directory link",https://bchs.hcsedu.org/234208_2
33,bonneville high school,ogden,utah,http://bonneville.wsd.net/index.php/en/,"bonneville high school in ogden, utah staff administration directory link",http://bonneville.wsd.net/index.php/en/104-classroom
34,boone high school,boone,iowa,http://boone.k12.ia.us/schools/high_school/,"boone high school in boone, iowa staff administration directory link",https://www.boonecsd.org/o/bhs/staff?page_no=5
35,bowen high school,chicago,illinois,http://bowen.cps.edu/,"bowen high school in chicago, illinois staff administration directory link",http://bowen.cps.edu/staff-directory.html
36,brindlee mountain high school,guntersville,alabama,http://brindleemountainhigh.marshallk12.org/,"brindlee mountain high school in guntersville, alabama staff administration directory link",https://www.marshallk12.org/domain/59
37,bronx latin school,bronx,new york,http://bronxlatin.com/,"bronx latin school in bronx, new york staff administration directory link",http://bronxlatin.com/teachers/
38,jonata middle,buellton,california,http://buelltonjms.sharpschool.net/,"jonata middle in buellton, california staff administration directory link",https://www.buelltonusd.org/administration/staff_directory
39,brattleboro union high school,brattleboro,vermont,http://buhs.wsesdvt.org/,"brattleboro union high school in brattleboro, vermont staff administration directory link",http://buhs.wsesdvt.org/faculty.html
40,jimmy c draughn high school,valdese,north carolina,http://burkedhs.ss14.sharpschool.com/,"jimmy c draughn high school in valdese, north carolina staff administration directory link",https://dhs.burke.k12.nc.us/faculty__staff
41,calexico mission school,calexico,california,http://calexicomissionschool.com/,"calexico mission school in calexico, california staff administration directory link",https://calexicomissionschool.com/about-us/faculty-staff-directory/
42,carbon career and technical institute,jim thorpe,pennsylvania,http://carboncti.org/,"carbon career and technical institute in jim thorpe, pennsylvania staff administration directory link",http://carboncti.org/contact-us/faculty/
43,cazenovia middle school,cazenovia,new york,http://cazenoviacsd.com/,"cazenovia middle school in cazenovia, new york staff administration directory link",https://www.cazenoviacsd.com/getstaff.cfm
44,crested butte community school,crested butte,colorado,http://cbcs.gunnisonschools.net/,"crested butte community school in crested butte, colorado staff administration directory link",https://cbelementary.gunnisonschools.net/cb_elementary/staff_directory
45,benedictine high school,cleveland,ohio,http://cbhs.net,"benedictine high school in cleveland, ohio staff administration directory link",https://cbhs.net/about/faculty-and-staff/
46,creative connections arts academy,north highlands,california,http://ccaa.twinriversusd.org/,"creative connections arts academy in north highlands, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=34765050108795
47,christian collegiate academy,gulfport,mississippi,http://ccagulfport.com/,"christian collegiate academy in gulfport, mississippi staff administration directory link",https://ccagulfport.com/about-cca/faculty-staff/
48,cedars academy next generation h s at highland,austin,texas,http://cedars-hs.org/,"cedars academy next generation h s at highland in austin, texas staff administration directory link",https://cedars-hs.org/apps/staff/
49,central linn high school,halsey,oregon,http://centrallinn.k12.or.us/high-school/,"central linn high school in halsey, oregon staff administration directory link",https://www.centrallinn.k12.or.us/
50,central noble high school,albion,indiana,http://centralnoble.k12.in.us/cnjshs/cnjshs-home,"central noble high school in albion, indiana staff administration directory link",https://www.centralnoble.k12.in.us/cnjshs/faculty-staff-directory
51,charlottesville high school,charlottesville,virginia,http://charlottesvilleschools.org/chs/,"charlottesville high school in charlottesville, virginia staff administration directory link",http://charlottesvilleschools.org/chs/staff/
52,john f kennedy senior high school,cheektowaga,new york,http://cheektowagasloan.org/domain/8,"john f kennedy senior high school in cheektowaga, new york staff administration directory link",https://www.cheektowagasloan.org/site/Default.aspx?PageType=1&SiteID=4&ChannelID=84&DirectoryType=6
53,centerville sr high school,centerville,indiana,http://chs.centerville.k12.in.us/,"centerville sr high school in centerville, indiana staff administration directory link",http://www.centerville.k12.in.us/index.php/contact/contact-a-teacher/centerville-high-school-teachers
54,clatskanie middlehigh school,clatskanie,oregon,http://clatskaniehigh.or.ch.schoolinsites.com/,"clatskanie middlehigh school in clatskanie, oregon staff administration directory link",https://middlehighclatskanieor.schoolinsites.com/staffdirectory
55,columbia montour avts,bloomsburg,pennsylvania,http://cmvt.us/,"columbia montour avts in bloomsburg, pennsylvania staff administration directory link",https://cmvt.us/?page_id=63
56,el capitan public school,colorado city,arizona,http://coloradocusd.cyberschool.com/ECHS,"el capitan public school in colorado city, arizona staff administration directory link",https://www.elcap.us/District/91-Untitled.html
57,corner high school,dora,alabama,http://cornerhigh.jefcoed.com/,"corner high school in dora, alabama staff administration directory link",https://www.jefcoed.com/domain/1842
58,cornerstone charter school,phoenix,arizona,http://cornerstonehs.org/cwp/,"cornerstone charter school in phoenix, arizona staff administration directory link",http://cornerstonehs.org/cwp/staff/
59,creekside charter,olympic valley,california,http://creeksidesquaw.org/,"creekside charter in olympic valley, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=31668520120105
60,crescent school,hempstead,new york,http://crescenthighschool.com/,"crescent school in hempstead, new york staff administration directory link",https://crescentk12.org/faculty-staff/
61,digital arts and technology,albuquerque,new mexico,http://datacharter.org/,"digital arts and technology in albuquerque, new mexico staff administration directory link",https://www.aps.edu/schools/schools/digital-arts-and-technology-academy
62,digital arts and technology academy,albuquerque,new mexico,http://datacharter.org/,"digital arts and technology academy in albuquerque, new mexico staff administration directory link",https://www.aps.edu/schools/schools/digital-arts-and-technology-academy
63,davis high school,davis,oklahoma,http://davis.k12.ok.us,"davis high school in davis, oklahoma staff administration directory link",https://www.daviswolves.org/staff
64,douglas city elementary,douglas city,california,http://dcesd.org/,"douglas city elementary in douglas city, california staff administration directory link",http://dcesd.org/index.php/douglas-city/staff-directory
65,denbigh high school,newport news,virginia,http://denbigh.nn.k12.va.us/,"denbigh high school in newport news, virginia staff administration directory link",http://denbigh.nn.k12.va.us/faculty.html
66,devine high school,devine,texas,http://dhs.devineisd.org/,"devine high school in devine, texas staff administration directory link",https://dhs.devineisd.org/staff_directory
67,discovery high school,newton,north carolina,http://dhs.newton-conover.org/,"discovery high school in newton, north carolina staff administration directory link",https://dhs.newton-conover.org/o/dhs/staff
68,dillon christian school,dillon,south carolina,http://dillonchristianschool.org/,"dillon christian school in dillon, south carolina staff administration directory link",https://www.dillonchristianschool.org/faculty-and-staff/
69,desert mirage high school,thermal,california,http://dmhs.cvusd.us/,"desert mirage high school in thermal, california staff administration directory link",https://dmhs.cvusd.us/about-us/staff-directory
70,democracy prep endurance charter school,new york,new york,http://dpehs.democracyprep.org/about/,"democracy prep endurance charter school in new york, new york staff administration directory link",https://dpems.democracyprep.org/staff-info/
71,democracy prep harlem high school,new york,new york,http://dphhs.democracyprep.org/,"democracy prep harlem high school in new york, new york staff administration directory link",https://democracyprep.org/ny/dphhs/
72,hector j garcia early college high school,laredo,texas,http://earlycollege.elisd.org/,"hector j garcia early college high school in laredo, texas staff administration directory link",https://earlycollege.elisd.org/o/hjgechs/staff
73,east high,salt lake city,utah,http://east.slcschools.org/,"east high in salt lake city, utah staff administration directory link",https://east.slcschools.org/our-school/administration-staff-directory
74,east coweta high school,newnan,georgia,http://echs.cowetaschools.net/en-US,"east coweta high school in newnan, georgia staff administration directory link",https://echs.cowetaschools.net/en-US/staff
75,j d clement early college high school,durham,north carolina,http://echs.dpsnc.net/,"j d clement early college high school in durham, north carolina staff administration directory link",https://www.dpsnc.net/Page/2215
76,emily griffith high school,denver,colorado,http://eghs.egtc.net/,"emily griffith high school in denver, colorado staff administration directory link",http://eghs.egtc.net/our-staff/
77,elgin high school,elgin,oklahoma,http://elginhs.sharpschool.net/,"elgin high school in elgin, oklahoma staff administration directory link",https://hs.elginps.org/staff_directory
78,emery secondary,emeryville,california,http://emeryhigh.com/,"emery secondary in emeryville, california staff administration directory link",https://emeryusd.k12.ca.us/faculty--staff-directory.html
79,epic high school north,south richmond hill,new york,http://epicschoolsnyc.org/,"epic high school north in south richmond hill, new york staff administration directory link",http://www.epicnorth.org/team-list
80,escambia county high school,atmore,alabama,http://escambia.al.ech.schoolinsites.com/,"escambia county high school in atmore, alabama staff administration directory link",http://www.escambia.al.ech.schoolinsites.com/?PageName='Alumni'
81,eureka county high school,eureka,nevada,http://eurekacountyhs.ss8.sharpschool.com/,"eureka county high school in eureka, nevada staff administration directory link",https://www.eureka.k12.nv.us/staff/e_c_h_s_staff
82,excelsior springs high,excelsior springs,missouri,http://excelsiorshs.ss9.sharpschool.com,"excelsior springs high in excelsior springs, missouri staff administration directory link",https://excelsiorshs.ss9.sharpschool.com/our_faculty/high_school_faculty_directory
83,family community christian school,winnsboro,louisiana,http://fccswarriors.weebly.com/,"family community christian school in winnsboro, louisiana staff administration directory link",http://fccswarriors.weebly.com/
84,faith christian school,rocky mount,north carolina,http://fcspatriots.com/,"faith christian school in rocky mount, north carolina staff administration directory link",https://www.fcspatriots.com/staff_directory
85,forest school,oak grove,louisiana,http://fhs.sharpschool.net/,"forest school in oak grove, louisiana staff administration directory link",https://www.wcpsb.com/FacultyStaffFHS.aspx
86,fontainebleau high school,mandeville,louisiana,http://fontainebleauhigh.stpsb.org/,"fontainebleau high school in mandeville, louisiana staff administration directory link",https://fontainebleauhigh.stpsb.org/our-school/faculty-and-staff
87,fowler high school,fowler,michigan,http://fowlerschools.net/,"fowler high school in fowler, michigan staff administration directory link",https://fowlerschools.net/staff-directory/
88,phillip j patino school of entrepreneurship,fresno,california,http://fresnounified.org,"phillip j patino school of entrepreneurship in fresno, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=10621660132134
89,fall river junior senior high,mcarthur,california,http://frhs.frjusd.org/,"fall river junior senior high in mcarthur, california staff administration directory link",https://frjusd-frhs.ss12.sharpschool.com/staff_directory
90,fair view high continuation,chico,california,http://fvhs.chicousd.org/,"fair view high continuation in chico, california staff administration directory link",http://fvhs.chicousd.org/Staff-Directory/index.html
91,flowing wells high school,tucson,arizona,http://fwhs.flowingwellsschools.org/,"flowing wells high school in tucson, arizona staff administration directory link",https://fwhs.flowingwellsschools.org/the_cab_way/our_staff
92,east columbus high school,lake waccamaw,north carolina,http://gatorseast.com/wordpress1/,"east columbus high school in lake waccamaw, north carolina staff administration directory link",https://www.zoominfo.com/pic/east-columbus-high-school/12190860
93,greensburg community high school,greensburg,indiana,http://gchs.greensburg.k12.in.us/,"greensburg community high school in greensburg, indiana staff administration directory link",https://gchs.greensburg.k12.in.us/staff_directory
94,greencastle high school,greencastle,indiana,http://ghs.greencastle.k12.in.us/,"greencastle high school in greencastle, indiana staff administration directory link",https://ghs.greencastle.k12.in.us/staff_directory
95,gridley high,gridley,california,http://ghs.gusd.org/,"gridley high in gridley, california staff administration directory link",http://ghs.gusd.org/Staff-Directory/index.html
96,central catholic middle and high schools,grand island,new york,http://gicentralcatholic.org/,"central catholic middle and high schools in grand island, new york staff administration directory link",https://www.grandislandschools.org/domain/70
97,gilpin county undivided high school,black hawk,colorado,http://gilpin.k12.co.us/school_info/gilpin_secondary,"gilpin county undivided high school in black hawk, colorado staff administration directory link",https://gilpin.k12.co.us/en-US/staff
98,gladstone area high school,gladstone,michigan,http://gladstone.ss8.sharpschool.com/,"gladstone area high school in gladstone, michigan staff administration directory link",https://www.gladstoneschools.com/staff_directory
99,gleason school,gleason,tennessee,http://gls.weakleyschools.com/,"gleason school in gleason, tennessee staff administration directory link",https://gls.weakleycountyschools.com/staff_directory
100,goode stem academy high school,chicago,illinois,http://goodestemacademy.org/,"goode stem academy high school in chicago, illinois staff administration directory link",https://www.goodestemacademy.org/directory
101,hampton park christian school,greenville,south carolina,http://hamptonpark.school/,"hampton park christian school in greenville, south carolina staff administration directory link",https://hamptonpark.school/about/faculty/
102,harding fine arts academy,oklahoma city,oklahoma,http://hardingfinearts.org/,"harding fine arts academy in oklahoma city, oklahoma staff administration directory link",https://hardingfinearts.org/staff-teachers/
103,houston high school,houston,ohio,http://hardinhouston.org/jr-sr-high-school/,"houston high school in houston, ohio staff administration directory link",http://hardinhouston.org/staff-directory/
104,the harid conservatory,boca raton,florida,http://harid.edu/,"the harid conservatory in boca raton, florida staff administration directory link",https://www.linkedin.com/in/rn-j-48122754
105,helen bernstein high school,hollywood,california,http://hbdragons.com/,"helen bernstein high school in hollywood, california staff administration directory link",http://hbdragons.com/staff-directory/
106,heritage christian academy,hopkinsville,kentucky,http://hcahopkinsville.org/,"heritage christian academy in hopkinsville, kentucky staff administration directory link",http://hcahopkinsville.org/staff.html
107,heritage high school,newport news,virginia,http://heritage.nn.k12.va.us/,"heritage high school in newport news, virginia staff administration directory link",http://heritage.nn.k12.va.us/faculty.html
108,hero high school,bronx,new york,http://herohigh.net/,"hero high school in bronx, new york staff administration directory link",http://herohigh.net/
109,hillcrest high,midvale,utah,http://hhs.canyonsdistrict.org/,"hillcrest high in midvale, utah staff administration directory link",https://hhs.canyonsdistrict.org/administration-staff/
110,humboldt high school,humboldt,tennessee,http://hhs.hcsvikings.org/,"humboldt high school in humboldt, tennessee staff administration directory link",http://hhs.hcsvikings.org/239865_2
111,hughson high,hughson,california,http://hhs.hughsonschools.org/,"hughson high in hughson, california staff administration directory link",https://hhs.hughsonschools.org/en-US/staff
112,hickory christian academy,hickory,north carolina,http://hickorychristianacademy.com/,"hickory christian academy in hickory, north carolina staff administration directory link",https://hickorychristianacademy.com/board-and-staff/
113,highland high,salt lake city,utah,http://highland.slcschools.org/,"highland high in salt lake city, utah staff administration directory link",https://highland.slcschools.org/our-school/administration-staff-directory
114,central lee high school,donnellson,iowa,http://highschool.centrallee.org/,"central lee high school in donnellson, iowa staff administration directory link",https://www.centrallee.org/page/district-staff-directory
115,heavener high school,heavener,oklahoma,http://highschool.heavenerschools.org/,"heavener high school in heavener, oklahoma staff administration directory link",https://www.heavenerschools.org/staff
116,hadley luzerne high school,lake luzerne,new york,http://hlhs.hlcs.org/mobile/default.asp,"hadley luzerne high school in lake luzerne, new york staff administration directory link",https://hljshshadleyluzerneny.schoolinsites.com/schoolstaff
117,holdenville high school,holdenville,oklahoma,http://holdenville.k12.ok.us/SITES/hhs/high_school.htm,"holdenville high school in holdenville, oklahoma staff administration directory link",https://www.holdenville.k12.ok.us/FACULTY/FACULTY.htm
118,earlham high school,earlham,iowa,http://home.ecsdcards.com/schools/high,"earlham high school in earlham, iowa staff administration directory link",https://ecshs.ss16.sharpschool.com/staff_directory
119,honey grove high school,honey grove,texas,http://honeygroveisd.net/,"honey grove high school in honey grove, texas staff administration directory link",https://www.honeygroveisd.net/184711_2
120,hoosick falls middle school,hoosick falls,new york,http://hoosickfallscsd.org/middle-school/,"hoosick falls middle school in hoosick falls, new york staff administration directory link",https://www.hoosickfallscsd.org/staff
121,bayless senior high,saint louis,missouri,http://hs.baylessk12.org/,"bayless senior high in saint louis, missouri staff administration directory link",https://www.baylessk12.org/about-us/directory
122,bellefontaine high school,bellefontaine,ohio,http://hs.bellefontaine.k12.oh.us/,"bellefontaine high school in bellefontaine, ohio staff administration directory link",https://hs.bellefontaine.k12.oh.us/staff_directory
123,lovell high school,lovell,wyoming,http://hs.bgh2.org/,"lovell high school in lovell, wyoming staff administration directory link",https://hs.bgh2.org/apps/staff/
124,south hunterdon regional high school,lambertville,new jersey,http://hs.shrsd.org/,"south hunterdon regional high school in lambertville, new jersey staff administration directory link",https://hs.shrsd.org/staff_directory
125,cannon falls secondary school,cannon falls,minnesota,http://hsms.cannonfallsschools.com/,"cannon falls secondary school in cannon falls, minnesota staff administration directory link",https://hsms.cannonfallsschools.com/staff_directory
126,high technical high school,secaucus,new jersey,http://hths.hcstonline.org/,"high technical high school in secaucus, new jersey staff administration directory link",https://hths.hcstonline.org/about-us/contact-us-teachers-and-staff/
127,hoopa valley high school,hoopa,california,http://hvhs.ktjusd.k12.ca.us/,"hoopa valley high school in hoopa, california staff administration directory link",http://hvhs.ktjusd.k12.ca.us/Staff-Directory/index.html
128,ider school,ider,alabama,http://iderhighschool.ss18.sharpschool.com/,"ider school in ider, alabama staff administration directory link",https://iderhighschool.ss18.sharpschool.com/school_links/staff_pages
129,international high school at union square,new york,new york,http://ihs-us.org/,"international high school at union square in new york, new york staff administration directory link",https://www.schools.nyc.gov/schools/M438
130,county line high school,branch,arkansas,http://indians.wsc.k12.ar.us/,"county line high school in branch, arkansas staff administration directory link",https://indians.wsc.k12.ar.us/52328_2?offset=12&ppl=2
131,yccs innovations of arts integr high school,chicago,illinois,http://innovationshs.org/,"yccs innovations of arts integr high school in chicago, illinois staff administration directory link",https://www.innovationshs.org/our-staff.html
132,barnum secondary,barnum,minnesota,http://isd91.org/high-school/,"barnum secondary in barnum, minnesota staff administration directory link",https://isd91.org/home/staff-directory/
133,junction city sr high school,junction city,kansas,http://jchs.usd475.org/,"junction city sr high school in junction city, kansas staff administration directory link",https://www.jchigh.org/apps/staff/
134,thomas jefferson high school,cedar rapids,iowa,http://jefferson.crschools.us/,"thomas jefferson high school in cedar rapids, iowa staff administration directory link",https://crschools.us/schools/high-schools/
135,corner canyon high school,sandy,utah,http://jhs.canyonsdistrict.org/Jordan_High_School/Home.html,"corner canyon high school in sandy, utah staff administration directory link",https://cchs.canyonsdistrict.org/administration-staff/
136,john milledge academy,milledgeville,georgia,http://johnmilledge.org/,"john milledge academy in milledgeville, georgia staff administration directory link",https://www.johnmilledge.org/about/faculty-and-staff/
137,bloomfield junior senior high school,bloomfield,indiana,http://jrsrhsbloomfieldk12.ss14.sharpschool.com/,"bloomfield junior senior high school in bloomfield, indiana staff administration directory link",https://jrsrhs.bloomfield.k12.in.us/staff_directory
138,jumpertown high school,booneville,mississippi,http://jumpertowncardinals.com/,"jumpertown high school in booneville, mississippi staff administration directory link",https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=2803750&ID=280375000717
139,southern university laboratory virtual school,baton rouge,louisiana,http://k12.com,"southern university laboratory virtual school in baton rouge, louisiana staff administration directory link",https://sulabschool.com/faculty
140,kalida high school,kalida,ohio,http://kalidaschools.org/,"kalida high school in kalida, ohio staff administration directory link",http://kalidaschools.org/cms/index.php?page=faculty-staff-2
141,kingman academy of learning high school,kingman,arizona,http://kaolaz.org/calendar.html,"kingman academy of learning high school in kingman, arizona staff administration directory link",https://www.kaolaz.org/apps/staff/
142,central high school,kirtland,new mexico,http://kchs.centralschools.org/,"central high school in kirtland, new mexico staff administration directory link",https://www.ccsdnm.org/StaffDirectory.aspx
143,kipp ma,lynn,massachusetts,http://kippma.org/,"kipp ma in lynn, massachusetts staff administration directory link",https://kippma.org/kipp-forward/meet-the-team/
144,falls city high school,klamath falls,oregon,http://ksd.dev.projecta.com/SectionIndex.asp?SectionID=58,"falls city high school in klamath falls, oregon staff administration directory link",https://www.kfalls.k12.or.us/staff
145,falls city senior high school,klamath falls,oregon,http://ksd.dev.projecta.com/SectionIndex.asp?SectionID=58,"falls city senior high school in klamath falls, oregon staff administration directory link",https://www.kfalls.k12.or.us/staff
146,lafayette christian school,lagrange,georgia,http://lafayettechristianschool.com/,"lafayette christian school in lagrange, georgia staff administration directory link",https://lafayettechristianschool.com/faculty-staff
147,lafayette high school,oxford,mississippi,http://lafayettecsdhs.ss16.sharpschool.com/,"lafayette high school in oxford, mississippi staff administration directory link",https://lafayettecsdhs.ss16.sharpschool.com/our_school/faculty_staff
148,louisiana school for agricultura science,bunkie,louisiana,http://lasas.avoyellespsb.edlioschool.com/,"louisiana school for agricultura science in bunkie, louisiana staff administration directory link",https://lasas.avoyellespsb.com/staff
149,laurel christian school,laurel,mississippi,http://laurelchristian.org/,"laurel christian school in laurel, mississippi staff administration directory link",https://www.laurelchristian.org/about
150,lewis cass high school,walton,indiana,http://lchs.lewiscass.net/,"lewis cass high school in walton, indiana staff administration directory link",http://www.lewiscass.net/staff-directory/
151,lewis central high school,council bluffs,iowa,http://lchs.lewiscentral.org/,"lewis central high school in council bluffs, iowa staff administration directory link",https://lchs.lewiscentral.org/staff-directory
152,leake academy,madden,mississippi,http://leakeacademy.org/,"leake academy in madden, mississippi staff administration directory link",https://leakeacademy.org/teachers/
153,leland public school,leland,michigan,http://lelandschool.ss16.sharpschool.com/contact_us/staff_directory,"leland public school in leland, michigan staff administration directory link",https://www.lelandschool.com/for_staff/staff_directory
154,lewis county high school,weston,west virginia,http://lewisboe.com/lchs/page/home,"lewis county high school in weston, west virginia staff administration directory link",https://www.lewisboe.com/staff
155,lamphere high school,madison heights,michigan,http://lhs.lamphereschools.org/,"lamphere high school in madison heights, michigan staff administration directory link",https://lhs.lamphereschools.org/contact_l_h_s/staff_directory
156,leicester high school,leicester,massachusetts,http://lhs.leicester.k12.ma.us/,"leicester high school in leicester, massachusetts staff administration directory link",https://lhs.leicester.k12.ma.us/contact_us/staff_directory
157,literacy first charter,alpine,california,http://libertychs.org/faculty.php,"literacy first charter in alpine, california staff administration directory link",https://www.lfcsinc.org/faculty.php
158,liberty center high school,liberty center,ohio,http://libertycls.ss9.sharpschool.com/schools/high_school,"liberty center high school in liberty center, ohio staff administration directory link",https://libertycls.ss9.sharpschool.com/contact_us/staff_directory
159,linden kildare high school,linden,texas,http://lkcisd.net/,"linden kildare high school in linden, texas staff administration directory link",https://www.lkcisd.net/100760_2
160,los molinos high,los molinos,california,http://lmhs.lmusd.net/,"los molinos high in los molinos, california staff administration directory link",http://lmhs.lmusd.net/Staff-Directory/
161,lincoln orens middle school,island park,new york,http://loms.ips.k12.ny.us/,"lincoln orens middle school in island park, new york staff administration directory link",http://loms.ips.k12.ny.us/directory/faculty
162,lone jack high,lone jack,missouri,http://lonejackc6.net/high_school/,"lone jack high in lone jack, missouri staff administration directory link",https://lonejackc6.net/directory/
163,louisiana high,louisiana,missouri,http://louisiana.k12.mo.us/,"louisiana high in louisiana, missouri staff administration directory link",https://louisiana.ss16.sharpschool.com/district_staff
164,lees summit senior high,lees summit,missouri,http://lshs.lsr7.org/,"lees summit senior high in lees summit, missouri staff administration directory link",https://lshs.lsr7.org/stafflshs/
165,lund high school,lund,nevada,http://lund.whitepine.k12.nv.us/,"lund high school in lund, nevada staff administration directory link",https://lund.whitepine.k12.nv.us/administrativestaff
